N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
100.0,0.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
1.0,1.0,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
2.0,0.65532,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
4.0,0.21592,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
10.0,0.0003,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
21.0,0.0,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,0.5,3,1.884,0.116,GCN
